Auf den ersten Blick denkt man, du hast ein leichtes Aggressionsproblem. Aber dann merkt man: Du hast ein schweres Aggressionsproblem;;
Petting…  klingt wie ein Ort in Bayern;;
Wie heißt du?;Michael;Das ist schön…
Jemand geht auf Toilette:;Viel Glück. Erzähl nachher, wie's gelaufen ist.;
Ich gehe 5-6x ins Gym.;Das ist ja 7-8x häufiger als ich.;
Kommen Sie mir doch nicht mit Fakten. Das sind Tatsachen.;;
Weißt du, was der Hammer ist?;Ein Werkzeug!;
Ich bereue niemals nichts nie.;;
"""Kannst du lesen?""";„Ja wieso?“; „Weil in meiner Hose steht was.“
Mein Körper ist eine Waffe;Mein Körper ist eine Waffel.;
Ich bin echt imprägniert von dir.;;
Bikiniform ist gut, aber Auflaufform ist besser;;
Es ist doch merkwürdig, dass man auf alten Fotos jünger aussieht.;;
Man trifft auf geballte Inkontinenz.;;
