 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
„Adventswasser“ - was ist das ?;„Adventswasser“ ist ein Begriff aus der Binnenschifffahrt. Regen im November und der erste Schnee im Dezember führen dazu, dass die Flusspegel ansteigen. Dieses Hochwasser in der Adventszeit wird „Adventswasser“ genannt.;
„Bestätigungsverkehr“ – was ist das?;„Verkehr“ ist im Amateurfunk die Beförderung von Nachrichten per Funk. Wenn ein Funker die Nachricht eines anderen hört und bestätigt, dass die Nachricht gehört wurde, ist das der Bestätigungsverkehr.;
„Bonner Advent“ – was ist das?;Eine Kohlsorte, die im Gegensatz zu anderen Sorten nicht schon im Oktober, sondern erst Anfang Dezember in der Gegend um Bonn ausgepflanzt wird.;
„Bürstenlose Erregung“ – was ist das?;Kohlebürsten sind Bestandteil von Elektromotoren – über sie kommt der Strom in den Motor. Wenn der Strom fließt, heißt das Erregung. Wenn der Strom statt über Bürsten über eine Spule in den Motor gelangt, heißt das bürstenlose Erregung (ist zum Beispiel geräuschärmer).;
„Flüssige Intelligenz“ - was ist das?;In der Psychologie unterscheidet man „kristallisierte Intelligenz“ und „flüssige Intelligenz“. „Kristallisierte Intelligenz“ ist alles, was als Bildung gespeichert ist, das Wissen, das abrufbar ist und sich schon kristallisiert hat, also fester Bestandteil des Gehirns ist. „Flüssige Intelligenz“ ist die Fähigkeit, was immer in „Genial daneben“ gemacht wird. Also um an Wissen, das man noch nicht besitzt, zu gelangen. Nur durch (mehr oder weniger) logisches Denken an das Wissen zu gelangen. Das Denken ist also noch „im Fluss“, hat sich noch nicht kristallisiert, daher heißt es „flüssige Intelligenz“.;
„Gelegenheitsverkehr“ – was ist das?;Die Beförderung von Personen mit Kraftfahrzeugen, die nicht in einen Linienverkehr fallen, sondern zu bestimmten Gelegenheiten gebucht werden können.;
„Gummifluss“ - was ist das?;Wenn z. B. bei Kirschbäumen die Rinde auf Grund Krankheit oder Ungeziefer geöffnet und somit beschädigt wird, tritt an dieser Stelle eine gummiartige Flüssigkeit aus, um diese Stelle zu schützen. Das nennt man den „Gummifluss“.;
„Gummifluss“ – was ist das?;Wenn bei einem Baum die Rinde verletzt wird, tritt eine gummiartige Flüssigkeit aus- die heißt auch Gummifluss.;
„Hausfrauenschnitt“ - was ist das?;Großküchen bestellen Kartoffeln geschält und in Vakuum verpackt. Es gibt sie zum Beispiel in Scheiben oder gewürfelt- Wenn sie geviertelt sind, ist dass der Hausfrauenschnitt.;
„Haus-zu-Haus“-Verkehr - was ist das?;Der „Haus-zu-Haus“-Verkehr ist in § 21 a der Straßenverkehrsordnung geregelt. Grundsätzlich muss man sich im Auto immer anschnallen, egal wie kurz die Strecke ist. Ausnahme gibt es für Autos, die im Minutentakt anhalten und von Haus zu Haus fahren, z. B. Post, UPS. Dann muss man sich nicht anschnallen, weil es sich um „Haus-zu-Haus“-Verkehr handelt.;
„Mitnehmen oder hier essen?“ Warum müssen McDonalds & Co. jedem Kunden diese Frage stellen?;Wegen der Mehrwertsteuer: Mitnehmen: 7%, Im Restaurant essen: 16%;
„Rammelwolle“ – was ist das?;Das Fell, das die Rammler (männliche Feldhasen) verlieren, wenn sie während der Paarungszeit gegeneinander um Weibchen kämpfen.;
„Saisonaler Hodenabstieg“ - was ist das?;Der Feldhamster ist ein Tier, das Winterschlaf hält. Während des Winterschlafs ziehen sich seine Hoden in die Bauchhöhle zurück, da während des Winterschlafs somit keine Energie für Samenproduktion verwendet werden muss. Kurz vor dem Aufwachen beginnt die Samenproduktion wieder und die Hoden wandern nach unten zurück und der Feldhamster ist wieder zeugungsfähig. Da die Hoden für die Paarungssaison nach unten absteigen, nennt man das den „saisonalen Hodenabstieg“.;
„Schwanzatmung“ - was ist das?;Wenn ein Vogel Atemwegserkrankungen hat, erkennt das der Veterinär daran, dass beim Atmen nicht nur der Brustbereich sich bewegt, sondern auch der Bauchraum und der Schwanz. Das nennt der Tierarzt dann „Schwanzatmung“.;
„Stressaufnahme“ – was ist das?;Eine bestimmte Röntgenaufnahme, bei der Körperteile unter Stress gesetzt werden müssen (mit Schienen), um sie röntgen zu können (z.B. Bänder).;
„Trockenstress“ – was ist das?;Bei Hitze- und Wassermangel zeigen Pflanzen Stresssymptome, z. B. ausbleibenden Wachstum. Diesen Zustand nennt man „Trockenstress“.;
„Vogeldunst“ – was ist das?;In Italien und Spanien werden Singvögel geschossen (gejagt). Die Munition ist millimeter-feiner Schrot, der wie ein Dunstschleier durch die Luft fliegt. Deshalb heißt diese Munition „Vogeldunst“.;
„Wolftöter“ - was ist das?;„Wolftöter“ ist ein Metallstück, das an einer Geige befestigt wird und für einen klaren Ton sorgt. Wird ein Ton gespielt, schwingen die Saite und der Holzkörper und es kann sein, dass der Ton verzerrt wird und es sich wie Wolfgeheule anhört. Geigenspieler wissen, bei welchem Ton oder welchen Tönen das bei ihrer Geige der Fall ist. Damit der Ton nicht jault, wird der „Wolftöter“ unter der Saite befestigt.;
„Zwergenwein“ - was ist das?;Bei alten und ausgetrockneten Fliegenpilzen biegt sich der Kopf am Rand nach oben, sodass auf dem Fliegenpilz eine Art Auffangbecken entsteht. In diesem Auffangbecken sammelt sich Regenwasser, das mit der Zeit die Giftstoffe des Fliegenpilzes aufnimmt. Diese giftige Flüssigkeit nennt der Pilzsammler „Zwergenwein“, da in Märchen solche Zaubertränke und auch Zwerge eine Rolle spielen.;
1656 ließ der Magdeburger Bürgermeister 16 Pferde in entgegengesetzter Richtung an einer Kugel ziehen. Warum?;Experiment: Die beiden Kugelhälften wurden fast leer gepumpt. Durch das entstandene Vakuum hielt die Kugel zusammen und konnte auch von den Pferden nicht auseinandergerissen werden.;
Aus welchem Grund droht Kühen in der Südost-Türkei ein Gefängnisaufenthalt?;Wenn sie Straßen verschmutzen. (Es gibt dort ein ausgedientes Gefängnis, das von der Polizei zu diesem Zweck benutz wird);
Aus welchem Grund war der British-Sansibarische Krieg 1896 besonders?;Er war mit 38 Minuten der kürzeste Krieg der Weltgeschichte.;
Begrüßungsschmerz – was ist das?;Der Arzt diagnostiziert Rheuma, wenn ein Patient bei einem bestimmten Handdruck (zur Begrüßung) diesen Schmerz verspürt.;
Brettgeld - was ist das?;Wenn Papiergeld beschädigt ist, tauscht man es bei der Deutschen Bank. Dort wird der Schein auf ein Holzbrett gelegt und dort zusammengepuzzelt. Sind über 50 % des Scheins noch da, wird er gegen einen neuen ausgetauscht. Dieses Geld nennt man Brettgeld.;
Büchsenlicht – was ist das?;Wenn das natürliche Licht ausreicht um das Wild durch das Zieloptik der „Büchse“ noch zu sehen spricht der Jäger von Büchsenlicht.;
Buckelzählen - was ist das?;In der Sprache der Zauberer nennt man das Kartenlegen „zählen“. Soll ein Zuschauer eine Karte ziehen und der Zauberer macht so, als ob er die Karte mit in den Kartenstapel mischen würde, in Wahrheit aber versteckt er die Karte in der Hand, wird das als „buckeln“ bezeichnet. Wird dieser Trick beim Kartenlegen angewandt, nennt man das Buckelzählen.;
Dreischenkelerziehung – was ist das?;Die Beeinflussung des Wuchses einer Weinrebe heißt „Erziehung“. Bei einer Dreischenkelerziehung verzweigt sich der Rebstamm in drei Äste (beziehungsweise Schenkel).;
Ein Fußballtorwart hat 2004 sein Trikot in die Fankurve geworfen und sich hinterher schwarz geärgert. Warum?;Er hat sich beim Werfen den Arm ausgekugelt und fiel zwei Wochen aus.;
Erfrischungsgeld – was ist das?;Wahlhelfer sind ehrenamtlich tätig und bekommen für ihre Arbeit eine Aufwandsentschädigung von 21 Euro die für Imbiss und Getränke reichen soll. Diese Entschädigung heißt deshalb „Erfrischungsgeld“.;
Für welche Straftat sind Millionen von Amerikanern der Näherin Rosa Parks dankbar?;Die Afro-Amerikanerin hat sich am 1.12.1955 in einem Bus in Alabama auf einen Platz für Weiße gesetzt. Weil sie müde war, weigerte sie sich für einen Weißen aufzustehen. Daraufhin gab es eine 381-tägige Protestserie. Die Rassentrennung wurde danach großteils abgeschafft.;
Fußluft – was ist das?;Türen die nicht bis ganz nach unten gehen. (bei öffentlichen Toiletten, Umkleidekabinen usw.);
Im 19. Jhd. trugen Mädchen manchmal beim Tanzen einen Apfelschnitz in ihrer Achselhöhle. Warum?;Wenn ein Mädchen, damals in Österreich, die Liebe eines Jungen vermutete, dann steckte sie sich beim Tanzen einen Apfelschnitz in ihre Achselhöhle. Der verschwitzte Apfelschnitz wurde dem Jungen angeboten. Hat dieser den Apfel gegessen, hat er somit seine Gefühle erwidert und das Mädchen war sich seiner Liebe sicher.;
Im Februar 2004 hat ein englischer Pfarrer 275 Gewehrpatronen gesegnet. Warum?;Die Witwe eines Waffenspezialisten hatte dessen Asche in Patronen füllen lassen. Diese wurden gesegnet, bevor seine Freunde mit den Patronen auf eine Jagd gingen.;
Im Jahr 2004 geriet ein Partyschiff auf dem Lake Travis in Texas in Schräglage und kippte um. Warum?;Alle Passagiere wollten einen Blick auf einen FKK-Strand erhaschen.;
In Lübeck gibt es eine Straße, die „Tittentastergang“ heißt. Wie kam die Straße zu ihrem Namen?;Im Mittelalter stillten reiche Frauen ihre Kinder nicht selbst, sondern schickten Prüfer in diese Straße, die dort eine Amme zum Stillen aussuchten.;
