"""Abstauben""";Die ersten „Abstauber“ waren Müller. Beim Mahlen von fremden Getreidesäcken ging nämlich immer ein Teil des Mehls als Staub in der Mühle nieder, den der Müller für sich behielt anstatt ihn dem Kunden mit abzuliefern.;;;;;;;;;;;;;;;;;;;;;;;;;;
“Auf Nummer sicher gehen“ - woher kommt diese Redewendung?;Gefängniszellen wurden immer nummeriert. Da die Insassen einer Zelle hinter den nummerierten Türen sicher verwahrt sind, wurde der Ausdruck „Nummer sicher“ zu einem Synonym für eine Lebenslage, in der kaum etwas Unvorhersehbares passieren konnte.;;;;;;;;;;;;;;;;;;;;;;;;;;
“Aus dem Nähkästchen plaudern“ – woher kommt diese Redewendung?;Wenn Frauen früher zusammengesessen und genäht haben, wurde dabei viel und auch Privates besprochen. Daher kommt diese Redewendung.;;;;;;;;;;;;;;;;;;;;;;;;;;
“Kalte Füße kriegen“ – woher kommt diese Redewendung?;Früher fanden verbotene Glücksspiele in uneinsichtigen, kalten Kellern statt. Wenn jemand gewonnen hatte und Angst hatte sein Geld wieder zu verlieren griff man oft zu der Ausrede: „Ich hab kalte Füße bekommen“ um den Keller zu verlassen und mit dem Gewinn nach Hause zu gehen.;;;;;;;;;;;;;;;;;;;;;;;;;;
“Zankapfel sein“ – woher kommt diese Redensart?;Aus der griechischen Mythologie: Eris, die Göttin der Zwietracht, warf bei einer Hochzeit einen Apfel mit der Aufschrift „Der Schönsten“ unter die Gäste. Die Göttinnen Hera, Athene und Aphrodite zankten sich daraufhin heftig um den Apfel, weil jede von ihnen die Schönste sein wollte. Deshalb wird der Gegenstand eines Streites als Zankapfel bezeichnet.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Ab durch die Mitte“;(„ab durch die Mitte“ bedeutet „schnell verschwinden“); „Ab durch die Mitte“ kommt aus der Theatersprache. So wie man links und rechts von der Bühne, kann man auch nach hinten weggehen, also „ab durch die Mitte“. Das ist oft der schnellste Weg, um von der Bühne zu verschwinden.;;;;;;;;;;;;;;;;;;;;;;;;;
„Ab durch die Mitte“ – woher kommt diese Redensart?;Vom Theater: Es gibt verschiedene Abgänge von der Bühne. Der schnellste ist nach hinten durch die Mitte…;;;;;;;;;;;;;;;;;;;;;;;;;;
„Auf Tuchfühlung gehen“ –;Aus dem Militär: Früher mussten Soldaten so dicht aneinander stehen, dass sich das Tuch ihrer Uniformen berührte – sie gingen auf Tuchfühlung.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Bei ihm oder ihr ist Hopfen und Malz verloren“ -;Bierbrauen war kompliziert, so dass jedes Kloster die Zutaten geheim hielt. Wenn etwas beim Brauen schief ging, waren Hopfen und Malz verloren.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Bis in die Puppen“;Friedrich der Große hatte am großen Stern im Berliner Tiergarten Statuen aus der antiken Götterwelt aufstellen lassen, die von den Berlinern „die Puppen“ genannt wurden. Da der große Stern damals weit von der Stadt entfernt war, galt der Spaziergang zu den Standbildern als beachtliche Leistung. Die Wendung „bis in die Puppen“ wurde dann von der räumlichen auch auf die zeitliche Dimension übertragen: bis in die Puppen tanzen, schlafen oder arbeiten!;;;;;;;;;;;;;;;;;;;;;;;;;;
„Da bleibt einem der Bissen im Halse stecken“?;Mittelalter: Um heraus zu finden, ob jemand schuldig war oder nicht, gab man ihm ein Stück trockenes Brot. Wenn er es schlucken konnte war er unschuldig.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Das geht mir über die Hutschnur“;Die Hutschnur war im 14. Jh. ein Maß für den aus der Leitung fließenden Wasserstrahl. Das Wasser sollte nicht stärker aus den Röhren kommen, „dann als ein hut snur“ – als eine Hutschnur. Wer gegen diese gewiss aus Sparsamkeit erlassene Vorschrift verstieß, der „ging zu weit“, machte sich strafbar.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Das Heft in der Hand haben“; „Hefte“ = Griff (Wer früher den Griff des Schwertes in der Hand hatte, war im Vorteil und hatte die Macht);;;;;;;;;;;;;;;;;;;;;;;;;;
„Das ist Jacke wie Hose“ - woher kommt diese Redensart?;(„das ist Jacke wie Hose“ = „macht keinen Unterschied, ist doch egal“);Im 17. Jahrhundert war quasi die Geburtsstunde des Anzugs. Man begann Jacke und Hose aus demselben Stoff zu machen, was vorher nicht der Fall war. Dem Schneider war es also egal, ob er aus dem Stoff Jacke oder Hose gemacht hat. Es war ihm „Jacke wie Hose“. So fand diese Redensart Einzug in den Sprachgebrauch.;;;;;;;;;;;;;;;;;;;;;;;;;
„Das Zeug zu etwas haben“;(„das Zeug zu etwas haben“ = etwas gut können, die nötigen Voraussetzungen besitzen);Mit Zeug war früher Werkzeug gemein. Hatte ein Handwerker gutes Werkzeug, hatte er auch die Voraussetzungen gute Arbeit zu leisten. Er hatte das (Werk)Zeug dazu. ;;;;;;;;;;;;;;;;;;;;;;;;;
„Den Faden verlieren“;Stammt aus der griechischen Mythologie, der Ariadne-Sage. Ariadne, die Tochter des kretischen Königs Minos, steckte dem geliebten Theseus heimlich ein Wollknäuel zu, als der in das Labyrinth gejagt wurde, aus dem es angeblich kein Entrinnen gab. Theseus durfte den Faden also keinesfalls verlieren, wollte er lebend aus dem Labyrinth herauskommen. Und das hat er ja dann auch geschafft.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Der Haussegen hängt schief“; „Haussegen“ nannten die Erbauer von Fachwerkhäusern den tragenden Querbalken, der die beiden Eckpfeiler an der Vorderfront eines Hauses miteinander verbindet. Er schließt das Haupteingangsportal nach oben hin ab und trägt den Giebel. Damit war er der massivste Balken und bot die größte Fläche für das Eingravieren des Haussegenspruchs. Hing dieser Balken schief, war etwas Grundlegendes nicht in Ordnung – der Haussegen hing schief.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Durch Abwesenheit glänzen“ – woher stammt diese Redewendung?;Bei Beerdigungen im Alten Rom wurden die Bildnisse der männlichen Verwandten vor dem Leichenzug hergetragen. Bei der Bestattung Julias – der Schwester des Cäsar-Mörders Brutus – fehlte das Bild Brutus’ und eines weiteren Verschwörers. Der römische Geschichtsschreiber Tacitus vermerkte: „Sie glänzten dadurch, dass man ihre Bildnisse nicht sah. Sie glänzten durch Abwesenheit.“ Darauf geht diese Redewendung zurück.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Etwas aus dem Ärmel schütteln“ – woher kommt diese Redensart?;Im Mittelalter trugen viele Menschen Kleidungsstücke mit weiten Ärmeln. Diese Ärmel dienten als Taschen. So konnte man im Bedarfsfall schnell und ohne Aufwand kleine Gegenstände oder Geld aus dem Ärmel schütteln.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Etwas aus dem Effeff beherrschen“;"Mittelalter: Zitate aus den Pandekten (altrömische Rechtsgrundsätze) wurden mit dem griechischen Buchstaben π (pi) gekennzeichnet; der bei schlampigen Schreibern wie ff aussah.";;;;;;;;;;;;;;;;;;;;;;;;;;
„Etwas hat Hand und Fuß“;Im Mittelalter war für Ritter die rechte Hand (zum Schwertführen) und der linke Fuß (um auf das Pferd aufzusteigen) sehr wichtig. Wenn ihnen als Bestrafung die rechte Hand oder der linke Fuß abgeschlagen wurde, waren sie nicht mehr leistungsfähig.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Etwas passt mir nicht in den Kram“ –;Ein Krämer verkaufte Waren (Kram) in seinem Laden. Wenn eine Ware nicht ins Sortiment aufgenommen wurde, dann passte sie nicht in den Kram.;;;;;;;;;;;;;;;;;;;;;;;;;;
