"""Wie lange braucht eine Schnecke von Deutschland bis nach Australien?"" ";Wir haben das mal modellhaft nachvollzogen: Man nehme eine Normschnecke, die pro Sekunde einen halben Zentimeter zurücklegt, das heißt sie schafft 18 Meter pro Stunde also 0,018 km/h. Nach Australien sind es grob gerechnet 20.000 km. Wenn die Schnecke rund um die Uhr rennt und sich nicht mal 'ne kleine Pause gönnt um ein Salatblatt einzuwerfen, braucht sie 1.111.111,1 Stunden (coole Zahl, gell) das entspricht (gerundet) 46296 Tagen bzw. 6614 Wochen oder rund 127 Jahren. Ist die Schnecke aber in der Gewerkschaft, läuft also nur 8 Stunden am Tag und hat an den Wochenenden frei, braucht sie: 27777,7 Wochen. Berücksichtigt man noch 5 Wochen tariflich festgelegten Urlaub sind das 591 Jahre. 
Alle Kängurus haben einen Beutel. ;Wahr oder Unwahr? Unwahr, natürlich haben die Männchen keinen Beutel.
Bekommen Fußballspieler O-Beine? ;Ja, es stimmt! Die Muskeln auf der Knie-Innenseite neigen zur Verkürzung, zu einer sehr starken Zugentwicklung und damit auf Dauer zu einer O-Beinstellung. Das kann sogar zu gesundheitlichen Problemen führen. 
Darf man zu Obst Wasser trinken? ;Ja, man darf. Zwar sollte man früher auf Obst kein Wasser trinken, aber das lag an den Bakterien im Wasser, die Probleme verursachten. Wer von Obst heute Bauchschmerzen bekommt, hat einfach nur zu viele Kirschen gegessen. 
Dem Piloten Eugene Ely gelang im Nov. 1910 der erste Start eines Flugzeugs vom Deck eines Kreuzers. Wie heißt der Kreuzer?;Das war die USS Birmingham, die in Hampton Roads, Virginia, vor Anker lag.
Den Weltrekord über den größten Temperatursturz hält eine Stadt in Montana. Innerhalb von 24 Stunden fiel die Temperatur von +6,6°C auf -48,9°C. In welcher Stadt wurden diese Temperaturen gemessen?;Das ist der Ort Browning in Montana, der rasante Temperaturwechsel fand im Winter 1996/97 statt.
Der Blitz trifft die gleiche Stelle nie ein zweites Mal!;"Falsch. Für diesen Aberglauben gibt es keinerlei vernünftige Begründung. Nach welchem Auswahlsystem sollte der Blitz, eine Elektrizitätsentladung, handeln? Ganz im Gegenteil ist es sehr wahrscheinlich, dass eine einmal vom Blitz getroffene, exponierte Stelle auch ein zweites Mal den Blitz ""anzieht"" - etwa ein hoher Baum, ein Fabrikschornstein, ein Blitzableiter geschütztes Hochhaus, eine aufragende Fernsehantenne."
Der gleiche Bundesstaat nimmt auch den kürzesten Fluss für sich in Anspruch. Er fließt 60 Meter zwischen Giant Springs und dem Missouri. Wie heißt dieses Flüsschen? ;Hier handelt es sich um den Roe River.
Der Pythagoreische Lehrsatz ist nicht von Pythagoras;Richtig. Das berühmte a2 + b2 = c2 wurde keineswegs von Pythagoras erfunden, sondern beruht auf Erkenntnissen der vorgriechischen Mathematik
Die Encyclopaedia Britannica wurde 1768 in Edinburgh von einem Drucker und dem Graveur Andrew Bell erdacht und zur Publikation in Auftrag gegeben. Wie heißt der Drucker mit Vor- und Nachnamen?;Colin Macfarquhar
